cmTop  (cm),cmBot      (cm),ageTop        (yr BP),ageBot        (yr BP),charVol        (cm3),charCount      (#)
0,0.39,-57,-56.31,3,0
0.39,1.16,-56.31,-50.7,3,1
1.16,1.54,-50.7,-49.04,3,0
1.54,1.93,-49.04,-46.41,3,1
1.93,2.31,-46.41,-43.03,3,0
2.31,2.7,-43.03,-39.8,3,1
2.7,3.08,-39.8,-36.73,3,0
3.08,3.47,-36.73,-33.64,3,0
3.47,3.85,-33.64,-30.61,3,1
3.85,4.24,-30.61,-27.71,3,0
4.24,4.62,-27.71,-24.73,3,2
4.62,5.01,-24.73,-21.43,3,0
5.01,5.39,-21.43,-17.83,3,0
5.39,5.78,-17.83,-13.94,3,0
5.78,6.16,-13.94,-9.55,3,0
6.16,6.55,-9.55,-4.43,3,0
6.55,6.93,-4.43,1.33,3,0
6.93,7.32,1.33,7.66,3,0
7.32,7.7,7.66,14.55,3,1
7.7,8.09,14.55,22.04,3,0
8.09,8.47,22.04,30.16,3,0
8.47,8.86,30.16,38.79,3,0
8.86,9.24,38.79,47.24,3,1
9.24,9.63,47.24,54.8,3,0
9.63,10.01,54.8,61.24,3,3
10.01,10.4,61.24,66.56,3,2
10.4,10.78,66.56,71.37,3,1
10.78,11.17,71.37,76.25,3,2
11.17,11.55,76.25,81.23,3,2
11.55,11.94,81.23,99.82,3,0
11.94,12.32,99.82,117.79,3,0
12.32,12.71,117.79,135.77,3,0
12.71,13.09,135.77,153.74,3,1
13.09,13.48,153.74,171.71,3,1
13.48,13.86,171.71,189.68,3,1
13.86,14.25,189.68,207.64,3,1
14.25,14.63,207.64,225.61,3,3
14.63,15.02,225.61,243.58,3,1
15.02,15.4,243.58,261.54,3,1
15.4,15.5,261.54,266.21,3,1
15.5,15.75,266.21,277.87,3,1
15.75,16,277.87,289.53,3,0
16,16.25,289.53,301.2,3,0
16.25,16.5,301.2,312.86,3,0
16.5,16.75,312.86,324.52,3,6
16.75,17,324.52,336.18,3,3
17,17.25,336.18,347.83,3,5
17.25,17.5,347.83,359.49,3,5
17.5,17.75,359.49,371.15,3,2
17.75,18,371.15,382.8,3,0
18,18.25,382.8,394.46,3,0
18.25,18.5,394.46,406.11,3,0
18.5,18.75,406.11,417.76,3,0
18.75,19,417.76,429.41,3,1
19,19.25,429.41,441.06,3,3
19.25,19.5,441.06,452.7,3,3
19.5,19.75,452.7,464.35,3,1
19.75,20,464.35,475.99,3,1
20,20.25,475.99,487.63,3,0
20.25,20.5,487.63,499.27,3,0
20.5,20.75,499.27,510.91,3,1
20.75,21,510.91,522.55,3,2
21,21.25,522.55,534.18,3,1
21.25,21.5,534.18,545.81,3,2
21.5,21.75,545.81,557.44,3,0
21.75,22,557.44,569.07,3,1
22,22.25,569.07,580.7,3,3
22.25,22.5,580.7,592.32,2,0
22.5,22.75,592.32,603.95,3,3
22.75,23,603.95,615.57,3,1
23,23.25,615.57,627.19,3,1
23.25,23.5,627.19,638.8,3,0
23.5,23.75,638.8,650.41,3,1
23.75,24,650.41,662.03,3,1
24,24.25,662.03,673.63,3,0
24.25,24.5,673.63,685.24,3,2
24.5,24.75,685.24,696.84,3,0
24.75,25,696.84,708.45,3,2
25,25.25,708.45,720.04,3,3
25.25,25.5,720.04,731.64,3,0
25.5,25.75,731.64,743.23,3,1
25.75,26,743.23,754.82,3,0
26,26.25,754.82,766.41,3,1
26.25,26.5,766.41,778,3,1
26.5,26.75,778,789.58,3,1
26.75,27,789.58,801.16,3,1
27,27.25,801.16,812.73,3,0
27.25,27.5,812.73,824.31,2,0
27.5,27.75,824.31,835.88,2,1
27.75,28,835.88,847.44,2,0
28,28.25,847.44,859.01,3,2
28.25,28.5,859.01,870.57,3,0
28.5,28.75,870.57,882.12,3,2
28.75,29,882.12,893.68,3,3
29,29.25,893.68,905.23,3,0
29.25,29.5,905.23,916.77,3,2
29.5,29.75,916.77,928.32,3,1
29.75,30,928.32,939.86,3,2
30,30.25,939.86,951.39,3,0
30.25,30.5,951.39,962.92,3,6
30.5,30.75,962.92,974.45,3,5
30.75,31,974.45,985.98,3,8
31,31.25,985.98,997.5,3,14
31.25,31.5,997.5,1009.02,3,10
31.5,31.75,1009.02,1020.53,3,0
31.75,32,1020.53,1032.04,3,0
32,32.25,1032.04,1043.55,3,1
32.25,32.5,1043.55,1055.05,3,0
32.5,32.75,1055.05,1066.55,2.5,0
32.75,33,1066.55,1078.04,2,0
33,33.25,1078.04,1089.53,3,0
33.25,33.5,1089.53,1101.01,3,1
33.5,33.75,1101.01,1112.49,3,0
33.75,34,1112.49,1123.97,3,2
34,34.25,1123.97,1135.44,3,0
34.25,34.5,1135.44,1146.91,3,2
34.5,34.75,1146.91,1158.37,3,0
34.75,35,1158.37,1169.83,3,1
35,35.25,1169.83,1181.28,3,6
35.25,35.5,1181.28,1192.73,3,0
35.5,35.75,1192.73,1204.17,3,9
35.75,36,1204.17,1215.61,3,0
36,36.25,1215.61,1227.04,3,6
36.25,36.5,1227.04,1238.46,3,6
36.5,36.75,1238.46,1249.88,3,9
36.75,37,1249.88,1261.29,3,15
37,37.25,1261.29,1272.69,3,9
37.25,37.5,1272.69,1284.09,3,9
37.5,37.75,1284.09,1295.47,2.5,2
37.75,38,1295.47,1306.85,3,1
38,38.25,1306.85,1318.23,3,9
38.25,38.5,1318.23,1329.59,3,2
38.5,38.75,1329.59,1340.95,3,2
38.75,39,1340.95,1352.29,3,0
39,39.25,1352.29,1363.63,3,3
39.25,39.5,1363.63,1374.96,2.5,0
39.5,39.75,1374.96,1386.28,3,1
39.75,40,1386.28,1397.59,3,0
40,40.25,1397.59,1408.89,3,0
40.25,40.5,1408.89,1420.18,3,0
40.5,40.75,1420.18,1431.46,2,0
40.75,41,1431.46,1442.73,3,2
41,41.25,1442.73,1453.99,3,2
41.25,41.5,1453.99,1465.23,3,6
41.5,41.75,1465.23,1476.47,3,3
41.75,42,1476.47,1487.7,3,3
42,42.25,1487.7,1498.91,3,4
42.25,42.5,1498.91,1510.11,3,3
42.5,42.75,1510.11,1521.3,3,1
42.75,43,1521.3,1532.48,3,1
43,43.25,1532.48,1543.64,3,2
43.25,43.5,1543.64,1554.79,3,0
43.5,43.75,1554.79,1565.93,3,1
43.75,44,1565.93,1577.06,3,0
44,44.25,1577.06,1588.17,3,1
44.25,44.5,1588.17,1599.27,3,0
44.5,44.75,1599.27,1610.35,3,0
44.75,45,1610.35,1621.42,3,3
45,45.25,1621.42,1632.48,3,5
45.25,45.5,1632.48,1643.52,3,0
45.5,45.75,1643.52,1654.55,3,5
45.75,46,1654.55,1665.56,3,1
46,46.25,1665.56,1676.55,3,1
46.25,46.5,1676.55,1687.53,3,0
46.5,46.75,1687.53,1698.5,3,1
46.75,47,1698.5,1709.45,3,0
47,47.25,1709.45,1720.38,3,0
47.25,47.5,1720.38,1731.3,3,1
